letter,Term,Definition,Committee,lastRevision
I,Image,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image,Optical counterpart of an object produced by means of an image producing device.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Image analysis,"The application of image science and domain expertise to examine and interpret the content of an image, the image itself, or both in legal matters.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image area,Area on a page occupied by all the printed information.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Image averaging,"In image and video analysis, the process of averaging similar images, such as sequential video frames, to reduce noise in stationary scenes.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image comparison,"In image analysis, the process of comparing images of questioned objects or persons to known objects or persons or images thereof and making an assessment of the correspondence between features in these images for rendering an opinion regarding identification or elimination.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image content analysis,"In image analysis, the drawing of conclusions about an image and targets for content analysis include, but are not limited to, the subjects/objects within an image; the conditions under which, or the process by which, the image was captured or created; the physical aspects of the scene (for example, lighting or composition); or the provenance of the image.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image data recovery,"In image analysis, the process of retrieving viewable image(s) from a data set.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image density,Contrast between image and background as measured by densitometer.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Image enhancement,Any process intended to improve the visual appearance of an image or specific features within an image.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image output,"In image analysis, a means by which an image is presented for examination or observation.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image processing,"In image analysis, any activity that transforms an input image into an output image.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image processing log,"In image analysis, a record of the steps used in the processing of an image.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image registration,The process by which two images are aligned with each other using a geometric transformation.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image restoration,See restoration.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image synthesis,"In image and video analysis, any process that renders an image, using computer graphics techniques, for illustrative purposes (that is, age progression, facial reconstruction, and accident/crime scene reconstruction).",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Image transmission,"In image and video analysis, an act of moving images from one location to another.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Imaging drum,Photoreceptive drum coated with a charge-sensitive material used in the image transfer systems of toner devices.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Imaging technology,"In image and video analysis, any system or method used to capture, store, process, analyze, transmit, or produce an image.  DISCUSSION—Such systems include film, electronic sensors, cameras, video devices, scanners, printers, computers, and so forth.",Video/Imaging Technology & Analysis (Digital / Multimedia),2018-02-23
I,Immediacy of consequences (Reinforcement / Punishment),The timing involved in delivering consequences for a response directly following the response in time. This reduces the likelihood of inadvertently reinforcing/punishing some other behavior. (Also called Reinforcement and Punishment).,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
I,Immiscible,Liquid that cannot be homogeneously mixed or blended with another liquid or gas.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Immunize,"To make an animal immune to infection, typically by inoculation. (See Vaccination).",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
I,Imogolite,"A poorly crystalline aluminosilicate mineral with an ideal composition SiO2 Al2O3 2.5H2)( + ). It appears as threads consisting of assemblies of a tube unit with inner and outer diameters of 1.0 and 2.0 nm, respectively. Imogolite is commonly found in association with allophane, and is similar to allophane in chemical properties. Imogolite is mostly found in soils derived from volcanic ash, and in weathered pumices and Spodosols.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Impact Pattern,A bloodstain pattern resulting from an object striking liquid blood.,Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
I,Impact printer,A printer in which printing is the result of mechanical impacts.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Impervious,Resistant to penetration by fluids or by roots.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Impression,An image formed by pressure.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Impression,"The product of direct physical contact of an item, such as a footwear or tire, resulting in the transfer and retention of characteristics of that item.",Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
I,Impression Defect,A deviation from the intended evenness in appearance of a character over the entire impression of the character or relative to the impression of another character. (See off-foot).,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Impression Format,The manner in which the paper is embossed or shredded.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
I,Imprinting,"A phenomenon by which an animal during a formative stage of life forms a lasting attachment to, and preference for, some object or activity through exposure to the same independent of consequences. Operational usage: A method of initial odor/scent discrimination training.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
I,Improvised explosive device (IED),"A device placed or fabricated in an improvised manner incorporating destructive, lethal, noxious, pyrotechnic, or incendiary chemicals and designed to destroy, incapacitate, harass, or distract. It may incorporate military stores, but is normally devised from nonmilitary components.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
I,Improvised explosive device (IED),"A combination of items or components that are neither originally designed nor produced to be used in conjunction with each other and that, when placed together or assembled, constitute a mechanism that has the capability of exploding and causing personal injuries and property damage.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Improvised explosive device (IED),A non-commercially produced device designed to explode.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,In situ,in the original place or position,(Not Provided),NA
I,In situ,In the original place or position.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
I,In situ,In the original place or position.,Odontology (Crime Scene / Death Investigation),2018-02-23
I,In vitro,Outside a living organism; literally “in glass” meaning biochemical reactions conducted in a test tube or other laboratory apparatus.,Biology (Biology / DNA),2018-02-23
I,In vivo,Within the cell or organism; literal meaning “in life.”.,Biology (Biology / DNA),2018-02-23
I,Inadvertent reinforcement,Reinforcement delivered despite the appropriateness of any response on the part of the subject.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
